Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units
B01800,SUN CAPITAL SECURITIES LTD,16/F HARBOUR COMMERCIAL BUILDING 122-124 CONNAUGHT ROAD CENTRAL HONG KONG,"922,668",0.02%
B01500,D.J. SECURITIES LTD,13/F D. J. BUILDING 173 HOI BUN ROAD KWUN TONG KOWLOON,"904,496",0.02%
C00095,EFG BANK AG,18/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"868,409",0.02%
B01582,THING ON SECURITIES LTD,17/F BANK OF EAST ASIA HARBOUR VIEW CENTRE 56 GLOUCESTER ROAD WANCHAI HONG KONG,"815,000",0.02%
C00012,DAH SING BANK LTD,RM 2403 24/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG,"814,564",0.02%
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,RM 3310 33/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"778,224",0.02%
C00083,BANK CONSORTIUM TRUST CO LTD,18/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"760,846",0.01%
B01209,MASON SECURITIES LTD,PORTION 1 12/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG,"740,689",0.01%
B01338,EMPEROR SECURITIES LTD,23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG,"716,694",0.01%
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD,48/F ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG,"698,201",0.01%
B01376,PUBLIC SECURITIES LTD,RM 1101-1103 WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"689,348",0.01%
B01905,ESSENCE INTERNATIONAL SECURITIES,39/F ONE EXCHANGE SQUARE CENTRAL HONG KONG,"672,976",0.01%
B01649,CINDA INTERNATIONAL SECURITIES LTD,45TH FLOOR COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"644,838",0.01%
B01282,CHELSEA SECURITIES LTD,"RM 702, 704-705 YU YUET LAI BUILDING 43-55 WYNDHAM STREET CENTRAL HONG KONG","593,384",0.01%
B01264,KIM ENG SECURITIES (HONG KONG) LTD,28/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG,"552,992",0.01%
B01169,PUBLIC FINANCIAL SECURITIES LTD,10/F PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG,"548,032",0.01%
